,userid, movie_id, rating, tstamp 
0,8e7cebf9a234c064b75016249f2ac65e,1,5.0, 2001-09-10 17:19:56 
1,8e7cebf9a234c064b75016249f2ac65e,2,4.0, 2001-09-28 11:34:55 
2,8e7cebf9a234c064b75016249f2ac65e,3,4.0, 2001-09-28 11:42:50 
3,8e7cebf9a234c064b75016249f2ac65e,5,5.0, 2001-09-28 11:27:30 
4,8e7cebf9a234c064b75016249f2ac65e,6,4.0, 2002-01-07 18:12:02 
5,8e7cebf9a234c064b75016249f2ac65e,7,4.0, 2001-09-21 14:09:24 
6,8e7cebf9a234c064b75016249f2ac65e,10,4.0, 2001-09-29 18:13:15 
7,8e7cebf9a234c064b75016249f2ac65e,11,4.0, 2001-09-21 11:54:21 
8,8e7cebf9a234c064b75016249f2ac65e,12,4.0, 2001-09-29 18:58:15 
9,8e7cebf9a234c064b75016249f2ac65e,13,4.0, 2001-09-14 15:29:46 
10,8e7cebf9a234c064b75016249f2ac65e,14,3.5, 2004-05-10 22:38:37 
11,8e7cebf9a234c064b75016249f2ac65e,15,2.0, 2001-09-29 19:02:38 
12,8e7cebf9a234c064b75016249f2ac65e,16,4.0, 2001-09-19 09:22:33 
13,8e7cebf9a234c064b75016249f2ac65e,17,5.0, 2001-09-10 12:08:45 
14,8e7cebf9a234c064b75016249f2ac65e,18,2.5, 2017-05-22 17:37:52 
15,8e7cebf9a234c064b75016249f2ac65e,19,1.5, 2006-07-15 00:12:20 
16,8e7cebf9a234c064b75016249f2ac65e,20,2.0, 2001-12-19 13:58:15 
17,8e7cebf9a234c064b75016249f2ac65e,21,5.0, 2001-09-10 13:47:16 
18,8e7cebf9a234c064b75016249f2ac65e,22,3.0, 2001-09-21 14:13:16 
19,8e7cebf9a234c064b75016249f2ac65e,23,3.0, 2001-09-29 18:42:09 
20,8e7cebf9a234c064b75016249f2ac65e,24,3.0, 2001-09-21 11:36:14 
21,8e7cebf9a234c064b75016249f2ac65e,25,5.0, 2001-09-10 12:38:30 
22,8e7cebf9a234c064b75016249f2ac65e,26,5.0, 2002-01-10 17:47:57 
23,8e7cebf9a234c064b75016249f2ac65e,27,2.0, 2001-09-26 16:34:16 
24,8e7cebf9a234c064b75016249f2ac65e,28,4.0, 2001-09-10 12:00:53 
25,8e7cebf9a234c064b75016249f2ac65e,29,3.0, 2001-09-10 13:22:11 
26,8e7cebf9a234c064b75016249f2ac65e,30,4.0, 2001-09-17 13:38:37 
27,8e7cebf9a234c064b75016249f2ac65e,31,3.0, 2001-09-29 18:34:37 
28,8e7cebf9a234c064b75016249f2ac65e,32,5.0, 2001-09-10 12:39:20 
29,8e7cebf9a234c064b75016249f2ac65e,34,5.0, 2001-09-10 10:40:39 
30,8e7cebf9a234c064b75016249f2ac65e,35,4.0, 2001-09-27 11:11:31 
31,8e7cebf9a234c064b75016249f2ac65e,36,5.0, 2001-09-10 11:49:20 
32,8e7cebf9a234c064b75016249f2ac65e,38,1.0, 2001-09-22 18:23:22 
33,8e7cebf9a234c064b75016249f2ac65e,39,1.5, 2004-05-01 16:53:42 
34,8e7cebf9a234c064b75016249f2ac65e,40,4.0, 2001-09-29 18:16:25 
35,8e7cebf9a234c064b75016249f2ac65e,41,4.0, 2001-09-19 09:33:05 
36,8e7cebf9a234c064b75016249f2ac65e,43,3.0, 2006-04-27 20:29:31 
37,8e7cebf9a234c064b75016249f2ac65e,45,4.0, 2002-01-24 19:39:40 
38,8e7cebf9a234c064b75016249f2ac65e,46,4.0, 2001-09-28 11:31:06 
